Date,Opponent,Opp Score,Home,Home Score,OTT,Type
9/30/16,Simon Fraser,1,Alaska Anchorage,6,0,EX
10/1/16,Alabama Huntsville,2,Ferris State,1,0,WC
10/1/16,Army West Point,2,Colgate,2,OT,NC
10/1/16,Michigan Tech,0,Minnesota Duluth,6,0,NC
10/1/16,Windsor,2,Bowling Green,3,0,EX
10/1/16,Prince Edward Island,2,Boston University,10,0,EX
10/1/16,QuÃ©bec Ã  Trois-RiviÃ¨res,4,Clarkson,3,0,EX
10/1/16,QC Trois Rivieres,4,Clarkson,3,0,EX
10/1/16,Mount Royal,1,Denver,4,0,EX
10/1/16,Carleton,5,Holy Cross,7,0,EX
10/1/16,Carleton (ON),5,Holy Cross,7,0,EX
10/1/16,New Brunswick,3,Merrimack,5,0,EX
10/1/16,Guelph,6,Mercyhurst,2,0,EX
10/1/16,Regina,3,Minnesota State,5,0,EX
10/1/16,Waterloo,1,Miami,8,0,EX
10/1/16,Western Ontario,2,Niagara,1,0,EX
10/1/16,Acadia,1,Northeastern,3,0,EX
10/1/16,McGill,1,Quinnipiac,2,0,EX
10/1/16,Brock,0,RIT,3,0,EX
10/1/16,Queen's,2,Robert Morris,2,OT,EX
10/1/16,St. Francis Xavier,4,Connecticut,3,0,EX
10/1/16,Dalhousie,5,Massachusetts,7,0,EX
10/1/16,Manitoba,1,North Dakota,5,0,EX
10/1/16,Concordia (QC),3,Vermont,2,0,EX
10/1/16,Victoria,1,Wisconsin,10,0,EX
10/1/16,Toronto,4,Western Michigan,3,0,EX
10/2/16,Alabama Huntsville,4,Ferris State,3,0,WC
10/2/16,Michigan Tech,3,Minnesota Duluth,4,0,NC
10/2/16,Carleton,3,Boston College,4,0,EX
10/2/16,Carleton (ON),3,Boston College,4,0,EX
10/2/16,Guelph,6,Canisius,2,0,EX
10/2/16,Mount Royal,0,Colorado College,3,0,EX
10/2/16,Laurentian,3,Lake Superior,3,OT,EX
10/2/16,St. Francis Xavier,6,Maine,5,0,EX
10/2/16,Toronto,2,Michigan State,2,OT,EX
10/2/16,USA Under-18 Team,1,Notre Dame,5,0,EX
10/2/16,Victoria,1,Northern Michigan,10,0,EX
10/2/16,Wilfrid Laurier,2,Ohio State,9,0,EX
10/2/16,Acadia,0,Providence,3,0,EX
10/2/16,Queen's,0,Penn State,8,0,EX
10/2/16,McGill,0,Rensselaer,3,0,EX
10/2/16,Regina,2,St. Cloud State,6,0,EX
10/2/16,Ryerson,4,Sacred Heart,7,0,EX
10/2/16,QC Trois Rivieres,1,St. Lawrence,4,0,EX
10/2/16,QuÃ©bec Ã  Trois-RiviÃ¨res,1,St. Lawrence,4,0,EX
10/2/16,Simon Fraser,0,Alaska,2,0,EX
10/2/16,Windsor,0,Michigan,2,0,EX
10/2/16,Prince Edward Island,0,UMass Lowell,7,0,EX
10/2/16,New Brunswick,1,New Hampshire,3,0,EX
10/3/16,Mount Royal,1,Air Force,5,0,EX
10/6/16,Western Michigan,5,Ferris State,3,0,NC
10/6/16,St. Lawrence,2,Penn State,4,0,NC
10/6/16,USA Under-18 Team,2,Boston University,8,0,EX
10/7/16,Sacred Heart,0,Army West Point,4,0,AH
10/7/16,Holy Cross,8,Niagara,2,0,AH
10/7/16,Robert Morris,3,RIT,6,0,AH
10/7/16,Bowling Green,1,Bemidji State,2,0,WC
10/7/16,Michigan Tech,1,Minnesota State,3,0,WC
10/7/16,Air Force,2,Boston College,1,0,NC
10/7/16,Vermont,5,Clarkson,2,0,NC
10/7/16,Ohio State,3,Denver,2,0,NC
10/7/16,Rensselaer,1,Maine,5,0,NC
10/7/16,Arizona State,2,Notre Dame,9,0,NC
10/7/16,Wisconsin,2,Northern Michigan,3,0,NC
10/7/16,Miami,3,Providence,4,0,NC
10/7/16,St. Lawrence,6,Penn State,3,0,NC
10/7/16,Northeastern,2,Quinnipiac,2,OT,NC
10/7/16,Minnesota,6,Alaska Anchorage,0,0,NC
10/7/16,Alabama Huntsville,0,Connecticut,6,0,NC
10/7/16,Union,4,Michigan,3,0,NC
10/7/16,Colorado College,0,Massachusetts,3,0,NC
10/7/16,Minnesota Duluth,4,UMass Lowell,4,OT,NC
10/7/16,Canisius,0,North Dakota,6,0,NC
10/7/16,Ferris State,1,Western Michigan,2,0,NC
10/8/16,Holy Cross,4,Niagara,4,OT,AH
10/8/16,Robert Morris,6,RIT,5,0,AH
10/8/16,Bowling Green,1,Bemidji State,4,0,WC
10/8/16,Michigan Tech,0,Minnesota State,4,0,WC
10/8/16,Boston University,6,Colgate,1,0,NC
10/8/16,Rensselaer,2,Maine,4,0,NC
10/8/16,Arizona State,2,Notre Dame,4,0,NC
10/8/16,Wisconsin,6,Northern Michigan,5,0,NC
10/8/16,Miami,2,Providence,1,0,NC
10/8/16,Northeastern,2,Quinnipiac,5,0,NC
10/8/16,Alaska,4,Alaska Anchorage,1,0,NC
10/8/16,Alabama Huntsville,0,Connecticut,4,0,NC
10/8/16,Union,0,Michigan,4,0,NC
10/8/16,Colorado College,7,Massachusetts,4,0,NC
10/8/16,Minnesota Duluth,1,UMass Lowell,1,OT,NC
10/8/16,Canisius,1,North Dakota,4,0,NC
10/8/16,Bentley,5,New Hampshire,1,0,NC
10/8/16,Clarkson,3,Vermont,2,0,NC
10/8/16,Ohio State,3,Air Force,3,OT,NC
10/8/16,Boston College,3,Denver,1,0,NC
10/8/16,USA Under-18 Team,2,Harvard,5,0,EX
10/8/16,Alberta,3,Omaha,2,0,EX
10/9/16,Sacred Heart,2,Merrimack,1,0,NC
10/9/16,Minnesota,6,Alaska,3,0,NC
10/14/16,Sacred Heart,0,Army West Point,3,0,AH
10/14/16,Alabama Huntsville,3,Michigan Tech,7,0,WC
10/14/16,Bemidji State,2,Northern Michigan,0,0,WC
10/14/16,Union,5,American International,4,0,NC
10/14/16,Air Force,4,Arizona State,3,0,NC
10/14/16,Northeastern,1,Bentley,1,OT,NC
10/14/16,Western Michigan,4,Bowling Green,4,OT,NC
10/14/16,UMass Lowell,8,Colorado College,5,0,NC
10/14/16,Merrimack,0,Clarkson,4,0,NC
10/14/16,Connecticut,4,Colgate,4,OT,NC
10/14/16,Boston University,3,Denver,4,0,NC
10/14/16,Michigan State,1,Lake Superior,6,0,NC
10/14/16,Quinnipiac,3,Maine,4,OT,NC
10/14/16,Penn State,7,Mercyhurst,0,0,NC
10/14/16,St. Cloud State,1,Minnesota State,4,0,NC
10/14/16,New Hampshire,2,St. Lawrence,6,0,NC
10/14/16,Notre Dame,3,Minnesota Duluth,4,0,NC
10/14/16,Boston College,1,Wisconsin,3,0,NC
10/14/16,Omaha,3,Alaska Anchorage,1,0,NC
10/14/16,Canisius,2,Alaska,1,OT,NC
10/14/16,USA Under-18 Team,0,Minnesota,9,0,EX
10/15/16,Alabama Huntsville,1,Michigan Tech,1,OT,WC
10/15/16,Bemidji State,2,Northern Michigan,0,0,WC
10/15/16,UMass Lowell,4,Colorado College,0,0,NC
10/15/16,New Hampshire,5,Clarkson,3,0,NC
10/15/16,Boston University,1,Denver,3,0,NC
10/15/16,Michigan,2,Ferris State,1,0,NC
10/15/16,Providence,1,Holy Cross,2,OT,NC
10/15/16,Michigan State,3,Lake Superior,7,0,NC
10/15/16,Quinnipiac,3,Maine,2,OT,NC
10/15/16,St. Cloud State,4,Minnesota State,6,0,NC
10/15/16,Ohio State,1,Miami,1,OT,NC
10/15/16,Bentley,3,Northeastern,7,0,NC
10/15/16,Connecticut,1,RIT,1,OT,NC
10/15/16,Union,4,Sacred Heart,4,OT,NC
