Team,Elo,Games,ELO Rank,USCHO Poll Position
Regina,1451.079203,2,,
No. Alberta IT,1481.103412,1,,
Minnesota State,1736.771091,34,1,1
St. Cloud State,1695.785506,31,2,3
Denver,1668.53094,31,3,5
Union,1665.371438,34,4,2
Ohio State,1661.235798,33,5,7
Northeastern,1652.056686,33,6,6
Notre Dame,1629.23517,33,7,4
Minnesota Duluth,1621.727746,33,8,11
Brown,1329.652834,27,,
Providence,1615.908159,33,9, 
New Brunswick,1483.802925,1,,
Connecticut,1566.772137,34,,
Acadia,1468.559321,2,,
Minnesota,1611.629499,35,10,10
Clarkson,1610.249891,33,11, 
Miami,1427.599851,32,,
Alaska,1452.029507,33,,
Michigan,1608.94621,34,12,14
Nipissing,1481.103412,1,,
Bowling Green,1591.709079,36,13,9
Guelph,1480.899653,2,,
Northern Michigan,1586.467917,34,14,8
Harvard,1574.873471,28,15,20
North Dakota,1573.724098,34,16,17
Boston University,1568.94688,34,17, 
Air Force,1559.288337,35,,
Boston College,1563.695548,33,18, 
Penn State,1530.598718,33,19, 
Ferris State,1371.333556,35,,
Omaha,1525.872699,31,20,19
McGill,1519.20195,1,21, 
Bemidji State,1512.220425,34,22,13
UMass Lowell,1435.421136,33,,
Colorado College,1509.732529,31,23,16
St. Mary's (NS),1507.628728,2,24,12
Western Michigan,1505.024359,31,25, 
Ottawa,1504.867549,3,26, 
Michigan Tech,1502.103734,35,27,15
Opponent,1500,0,28, 
RIT,1497.943792,33,29, 
Massachusetts,1440.8378,33,,
Wisconsin,1495.254642,33,30, 
St. Francis Xavier,1493.829662,2,,
Quinnipiac,1500.916895,33,,
Carleton,1537.511823,2,,
Queens,1489.20195,1,31, 
Laurentian,1489.20195,1,32, 
Brock,1483.802925,1,33, 
Mercyhurst,1549.241827,33,,
No. Alberta IT,1481.103412,1,34, 
Home,1500,0,,
Maine,1521.660544,33,,
Toronto,1481.103412,1,35, 
Manitoba,1479.753656,1,36, 
Cornell,1725.409962,29,,
Waterloo,1478.4039,1,37, 
PEI,1480.25828,2,,
Dartmouth,1473.949408,29,38,18
Alberta,1497.502159,2,,
Windsor,1470.448177,2,38,
Colgate,1469.827395,32,,
Bentley,1464.362293,33,,
Princeton,1510.659974,28,,
Wilfrid Laurier,1462.199648,2,,
Canisius,1460.998612,33,,
Royal Military,1460.662115,1,,
Robert Morris,1457.828942,33,,
Sacred Heart,1457.457059,33,,
Simon Fraser,1457.248149,2,,
Regina,1451.079203,2,,
Michigan State,1449.596043,34,,
Lethbridge,1449.41536,3,,
Western Ontario,1444.576361,3,,
Alabama Huntsville,1429.993629,32,,
Army West Point,1503.801132,32,,
American International,1429.700182,32,,
Ryerson,1568.518734,3,,
Lake Superior,1426.322715,36,,
Vermont,1409.651665,33,,
US Under-18 Team,1400.907695,12,,
Merrimack,1397.582176,31,,
New Hampshire,1387.161396,33,,
St. Lawrence,1380.503157,33,,
Yale,1550.972416,28,,
Niagara,1346.391751,32,,
Arizona State,1345.112014,33,,
Holy Cross,1438.408711,34,,
Rensselaer,1285.522366,33,,
Alaska Anchorage,1225.624439,33,,
